Date,Total cases
3-8-2020,3
3-9-2020,3
3-10-2020,3
3-11-2020,3
3-12-2020,3
3-13-2020,3
3-14-2020,5
3-15-2020,5
3-16-2020,8
3-17-2020,10
3-18-2020,14
3-19-2020,18
3-20-2020,20
3-21-2020,24
3-22-2020,27
3-23-2020,33
3-24-2020,39
3-25-2020,39
3-26-2020,44
3-27-2020,48
3-28-2020,48
3-29-2020,48
3-30-2020,49
3-31-2020,51
4-1-2020,54
4-2-2020,56
4-3-2020,61
4-4-2020,70
4-5-2020,88
4-6-2020,123
4-7-2020,164
4-8-2020,218
4-9-2020,330
4-10-2020,424
4-11-2020,482
4-12-2020,621
4-13-2020,803
4-14-2020,1012
4-15-2020,1231
4-16-2020,1572
4-17-2020,1838
4-18-2020,2144
4-19-2020,2456
4-20-2020,2948
4-21-2020,3382
4-22-2020,3772
4-23-2020,4186
4-24-2020,4689
4-25-2020,4998
4-26-2020,5416
4-27-2020,5913
4-28-2020,6462
4-29-2020,7103
4-30-2020,7667
5-1-2020,8238
5-2-2020,8790
5-3-2020,9455
5-4-2020,10143
5-5-2020,10929
5-6-2020,11719
5-7-2020,12425
5-8-2020,13134
5-9-2020,13770
5-10-2020,14657
5-11-2020,15691
5-12-2020,16660
5-13-2020,17822
5-14-2020,18863
5-15-2020,20065
5-16-2020,20995
5-17-2020,22268
5-18-2020,23870
5-19-2020,25121
5-20-2020,26738
5-21-2020,28511
5-22-2020,30205
5-23-2020,32078
5-24-2020,33610
5-25-2020,35585
5-26-2020,36751
5-27-2020,38292
5-28-2020,40321
5-29-2020,42844
5-30-2020,44608
5-31-2020,47153
6-1-2020,49534
6-2-2020,52445
6-3-2020,55140
6-4-2020,57563
6-5-2020,60391
6-6-2020,63026
6-7-2020,65769
6-8-2020,68504
6-9-2020,71675
6-10-2020,74865
6-11-2020,78052
6-12-2020,81523
6-13-2020,84379
6-14-2020,87520
6-15-2020,90619
6-16-2020,94481
6-17-2020,98489
6-18-2020,102292
6-19-2020,105535
6-20-2020,108775
6-21-2020,112306
6-22-2020,115786
6-23-2020,119198
6-24-2020,122660
6-25-2020,126606
6-26-2020,130474
6-27-2020,133978
6-28-2020,137787
6-29-2020,141801
6-30-2020,145483
7-1-2020,149258
7-2-2020,153277
7-3-2020,156391
7-4-2020,159679
7-5-2020,162417
7-6-2020,165618
7-7-2020,168645
7-8-2020,172134
7-9-2020,175494
7-10-2020,178443
7-11-2020,181129
7-12-2020,183795
7-13-2020,186894
7-14-2020,190057
7-15-2020,193590
